2025-07-08 02:10:25,627 || INFO || JID set to: worker@localhost/ZpquB--4
2025-07-08 02:10:27,815 || INFO || JID set to: manager@localhost/ViUoHjxw
2025-07-08 02:10:27,820 || INFO || Killing behavior OneShotBehaviour/SimulateClientRequest with exit code: None
2025-07-08 02:10:28,884 || INFO || HTTP Request: GET https://www.alphavantage.co/query?function=GLOBAL_QUOTE&symbol=TSLA&apikey=POFEW0Q1VCNTQ4GS "HTTP/1.1 200 OK"
2025-07-08 02:11:20,176 || WARNING || Keyboard interrupt received. Stopping SPADE...
2025-07-08 02:11:20,177 || INFO || Killing behavior CyclicBehaviour/HandleSubtask with exit code: None
2025-07-08 02:11:20,177 || INFO || Killing behavior CyclicBehaviour/ReceiveWorkerResponse with exit code: None
2025-07-08 02:11:20,180 || INFO || connection_lost: (None,)
2025-07-08 02:11:20,183 || INFO || connection_lost: (None,)
2025-07-08 02:11:20,185 || INFO || Killing behavior CyclicBehaviour/HandleSubtask with exit code: None
2025-07-08 02:11:20,187 || INFO || Killing behavior CyclicBehaviour/ReceiveWorkerResponse with exit code: None
2025-07-08 03:10:20,012 || WARNING || Keyboard interrupt received. Stopping SPADE...
2025-07-08 03:12:44,687 || WARNING || Keyboard interrupt received. Stopping SPADE...
2025-07-08 03:13:21,313 || INFO || Authentication failed: not-authorized
2025-07-08 03:13:21,314 || ERROR || No appropriate login method.
2025-07-08 03:13:21,316 || ERROR || Exception in the event loop: Could not authenticate the agent. Check user and password or use auto_register=True
2025-07-08 03:13:21,318 || INFO || connection_lost: (None,)
2025-07-08 03:14:03,320 || INFO || Authentication failed: not-authorized
2025-07-08 03:14:03,322 || ERROR || No appropriate login method.
2025-07-08 03:14:03,323 || ERROR || Exception in the event loop: Could not authenticate the agent. Check user and password or use auto_register=True
2025-07-08 03:14:03,326 || INFO || connection_lost: (None,)
2025-07-08 12:34:00,532 || INFO || Authentication failed: not-authorized
2025-07-08 12:34:00,533 || ERROR || No appropriate login method.
2025-07-08 12:34:00,533 || ERROR || Exception in the event loop: Could not authenticate the agent. Check user and password or use auto_register=True
2025-07-08 12:34:00,535 || INFO || connection_lost: (None,)
2025-07-08 12:39:04,035 || INFO || Authentication failed: not-authorized
2025-07-08 12:39:04,035 || ERROR || No appropriate login method.
2025-07-08 12:39:04,036 || ERROR || Exception in the event loop: Could not authenticate the agent. Check user and password or use auto_register=True
2025-07-08 12:39:04,038 || INFO || connection_lost: (None,)
2025-07-08 12:39:27,894 || ERROR || Exception in the event loop: 'charmap' codec can't encode character '\u2705' in position 0: character maps to <undefined>
2025-07-08 12:39:38,876 || INFO || Authentication failed: not-authorized
2025-07-08 12:39:38,877 || ERROR || No appropriate login method.
2025-07-08 12:39:38,877 || ERROR || Exception in the event loop: Could not authenticate the agent. Check user and password or use auto_register=True
2025-07-08 12:39:38,879 || INFO || connection_lost: (None,)
2025-07-08 12:48:38,070 || ERROR || Exception in the event loop: Agent.__init__() got an unexpected keyword argument 'auto_register'
2025-07-08 12:49:58,173 || INFO || Authentication failed: not-authorized
2025-07-08 12:49:58,174 || ERROR || No appropriate login method.
2025-07-08 12:49:58,175 || ERROR || Exception in the event loop: Could not authenticate the agent. Check user and password or use auto_register=True
2025-07-08 12:49:58,176 || INFO || connection_lost: (None,)
2025-07-08 12:54:17,837 || ERROR || Exception in the event loop: Agent.__init__() got an unexpected keyword argument 'auto_register'
2025-07-08 12:55:17,804 || INFO || Authentication failed: not-authorized
2025-07-08 12:55:17,805 || ERROR || No appropriate login method.
2025-07-08 12:55:17,806 || ERROR || Exception in the event loop: Could not authenticate the agent. Check user and password or use auto_register=True
2025-07-08 12:55:17,807 || INFO || connection_lost: (None,)
2025-07-08 13:02:27,729 || INFO || JID set to: stock_worker@localhost/mZHq3Nfd
2025-07-08 13:02:27,732 || INFO || [StockPriceAgent] Agent stock_worker@localhost starting...
2025-07-08 13:02:27,949 || INFO || Authentication failed: not-authorized
2025-07-08 13:02:27,949 || ERROR || No appropriate login method.
